107/01/22,11169.79,11231.46,11142.38,11231.46,100.00,95.09
107/01/23,11243.49,11270.18,11201.52,11253.11,96.59,95.59
107/01/24,11228.71,11228.71,11107.32,11152.16,73.89,88.36
107/01/25,11154.36,11268.61,11131.85,11165.95,70.91,82.55
107/01/26,11152.53,11178.30,11089.48,11147.10,64.80,76.63
107/01/29,11202.27,11246.18,11161.83,11221.81,85.22,79.50
107/01/30,11189.57,11189.57,11076.78,11076.78,12.93,57.31
107/01/31,11054.36,11158.29,11007.89,11103.79,36.56,50.40
107/02/01,11139.40,11212.10,11139.40,11160.25,58.09,52.96
107/02/02,11151.65,11153.32,11070.43,11126.23,45.12,50.35
20180205,10970.30,10970.30,10855.43,10946.25,21.98,40.90
