1101,1962/02/09
1102,1962/06/08
1103,1969/11/14
1104,1971/02/01
1108,1990/06/06
1109,1991/12/05
1110,1994/10/22
1201,1962/02/09
1203,1964/08/24
1210,1978/05/20
1213,1981/04/10
1215,1987/07/27
1216,1987/12/28
1217,1989/10/28
1218,1989/11/11
1219,1990/12/01
1220,1991/11/20
1225,1993/09/27
1227,1994/04/09
1229,1976/07/19
1231,1995/11/02
1232,1996/02/09
1233,1999/01/20
1234,1999/03/12
1235,2000/09/11
1236,2001/09/17
1256,2016/03/17
1262,2014/01/16
1301,1964/07/27
1303,1967/11/05
1304,1972/05/20
1305,1973/03/05
1307,1985/11/23
1308,1986/06/20
1309,1986/06/27
1310,1987/08/06
1312,1988/12/21
1313,1989/03/27
1314,1991/07/12
1315,1992/05/09
1316,1992/10/15
1319,1994/12/12
1321,1999/01/26
1323,2000/09/11
1324,2000/09/11
1325,2000/09/11
1326,1984/12/20
1337,2011/07/01
1338,2012/12/19
1339,2012/04/24
1340,2013/12/06
1402,1967/04/14
1409,1973/08/31
1410,1973/10/18
1413,1975/12/23
1414,1976/02/02
1416,1976/04/20
1417,1976/12/28
1418,1977/02/14
1419,1977/03/14
1423,1979/04/02
1432,1982/07/26
1434,1985/12/24
1435,1987/12/28
1436,1988/04/11
1437,1988/11/10
1438,1988/12/15
1439,1989/05/22
1440,1989/10/03
1441,1989/10/27
1442,1989/11/16
1443,1990/04/21
1444,1990/08/08
1445,1991/02/05
1446,1991/10/15
1447,1992/01/28
1449,1992/03/12
1451,1992/12/21
1452,1992/12/28
1453,1993/04/19
1454,1993/05/07
1455,1993/10/07
1456,1993/12/09
1457,1994/10/20
1459,1994/10/26
1460,1995/04/28
1463,1996/12/05
1464,1997/01/18
1465,1997/09/08
1466,1998/04/04
1467,1998/12/21
1468,1999/01/21
1469,1999/02/05
1470,1999/05/21
1471,2000/03/06
1472,2000/09/11
1473,2000/09/11
1474,2000/10/31
1475,2000/10/27
1476,2001/04/18
1477,2003/01/21
1503,1969/12/15
1504,1973/11/05
1506,1980/08/11
1507,1989/11/09
1512,1994/01/28
1513,1994/03/08
1514,1994/03/26
1515,1995/02/04
1516,1995/04/01
1517,1995/11/14
1519,1997/04/16
1521,1997/10/06
1522,1997/10/06
1524,1998/10/30
1525,1999/05/15
1526,2000/03/27
1527,2000/06/21
1528,2000/09/11
1529,2000/09/11
1530,2000/09/11
1531,2000/09/11
1532,2016/07/01
1533,2001/04/06
1535,2001/09/17
1536,2001/09/17
1537,2002/01/22
1538,2002/08/26
1539,2002/10/29
