2016,2017,2017/06/28,,,,,,0,0,0,0,0,0,0,10.6,0
2015,2016,2016/06/27,,,,,,0,0,0,0,0,0,0,7.47,0
2014,2015,2015/05/15,,,,,,0,0,0,0,0,0,0,11.9,0
2013,2014,2014/03/28,,,,,,0,0,0,0,0,0,0,16.6,0
2012,2013,2013/06/28,,,,,,0,0,0,0,0,0,0,10.6,0
2011,2012,2012/06/27,,,,,,0,0,0,0,0,0,0,10.9,0
2010,2011,2011/06/28,2011/09/09,13.5,,,,1,0,1,0,0,0,1,18,5.56
2009,2010,2010/06/09,2010/09/09,29.1,,,,2.8,0,2.8,0,0,0,2.8,33.2,8.44
2008,2009,2009/06/26,2009/09/11,36.35,2009/09/11,36.35,,1.9,0,1.9,0.1,0,0.1,2,35,5.71
2007,2008,2008/05/06,2008/07/17,,2008/07/17,,,2,0,2,1,0,1,3,,
